doi,element,conc_at,atmosphere,T_C,method,source,pred_PDR,meas_PDR,pred_dark,meas_dark,pred_VO,meas_VO,meas_VO_log10,pred_n,pred_mu,pred_sigma,pred_Eg,pred_dEg,meas_n,meas_mu,meas_sigma
DOI:10.1063/5.0139622,Si,5.5e-05,O2,525.0,Suboxide MBE,exp,21.399314586335624,,0.4021941057443259,,406760377.83736384,2.0000000000000004e+16,16.30102999566398,1751605890015.061,88.8308962568919,1.608344715300995e-05,4.902942087323626,4.667903653563645e-06,,,
DOI:10.1063/5.0139622,Si,0.00027,O2,525.0,Suboxide MBE,exp,21.843919624233056,,0.41457087406696935,,251954450.19387,1e+17,17.0,1085215132180.755,86.46845788828237,9.699564830445707e-06,4.902956952745042,1.953332506986607e-05,,,
DOI:10.1063/5.0139622,Si,0.0027,O2,525.0,Suboxide MBE,exp,22.878734307634268,,0.4231049945152279,,181285570.94770935,1e+18,18.0,780097574620.1543,61.83476142865875,4.98609228925629e-06,4.902965937854956,2.8518434983601243e-05,,,
DOI:10.1063/5.0027870,Sn,2.7e-05,O2_plasma,700.0,Plasma-assisted MBE,exp,19.40924490949069,,0.28609941358287827,,22229423103.608795,1e+16,16.0,156221621614993.28,88.61948602605604,0.001431031073034342,4.902612130246226,7.592252879396884e-07,,,
DOI:10.1063/5.0027870,Sn,0.00027,O2_plasma,700.0,Plasma-assisted MBE,exp,19.707503352589583,,0.2870547807980435,,21423020497.355045,1e+17,17.0,150553788648518.0,85.25655251307757,0.0013267776642068342,4.902617043771667,5.6727507301086726e-06,,,
DOI:10.1063/5.0027870,Sn,0.0027,O2_plasma,700.0,Plasma-assisted MBE,exp,20.624147173956235,,0.2908430713250434,,18504020557.389885,1e+18,18.0,130032300293893.67,66.18083976241445,0.0008895333078053437,4.9026360290809725,2.4658060034609726e-05,,,
MOCVD review APL Mater. 2025,Si,2.7e-06,N2+O2,800.0,MOCVD,exp,17.96748756662418,,0.22308711779581358,,115730152766.60782,1000000000000000.0,15.0,1787710652769562.2,192.93862017786273,0.035652918952955755,4.902158419551732,-4.504494368742025e-07,,,
MOCVD review APL Mater. 2025,Si,0.00027,N2+O2,800.0,MOCVD,exp,18.250878297285254,,0.22020245624653523,,129392148991.85149,1e+17,17.0,1998742404430118.0,182.12377592044993,0.03762722304084838,4.902131066735349,-2.7803265820319388e-05,,,
MOCVD review APL Mater. 2025,Si,0.0027,N2+O2,800.0,MOCVD,exp,19.074858175577937,,0.2160668687402394,,151840535704.8481,1e+18,18.0,2345474167794012.5,130.65506572925204,0.03167638424571484,4.902090885266191,-6.798473497811756e-05,,,
MOCVD review APL Mater. 2025,Si,0.0275,N2+O2,800.0,MOCVD,exp,20.199308089243516,,0.21464782762638812,,160421785570.63242,1e+19,19.0,2477816334683306.5,87.20312565343706,0.02233468640271154,4.902076842759765,-8.202724140418823e-05,,,
